fp,threshold,tp
89,0.7280000000000001,4477
101,0.7290000000000001,4572
112,0.7300000000000001,4671
127,0.7310000000000001,4796
151,0.7320000000000001,4926
176,0.7330000000000001,5045
199,0.7340000000000001,5182
217,0.7350000000000001,5311
240,0.7360000000000001,5447
265,0.7370000000000001,5603
295,0.7380000000000001,5754
315,0.7390000000000001,5888
330,0.7400000000000001,6030
356,0.7410000000000001,6170
374,0.7420000000000001,6325
396,0.7430000000000001,6472
416,0.7440000000000001,6644
443,0.7450000000000001,6809
468,0.7460000000000001,6972
503,0.7470000000000001,7144
527,0.7480000000000001,7323
553,0.7490000000000001,7471
580,0.7500000000000001,7625
608,0.7510000000000001,7783
635,0.7520000000000001,7916
662,0.7530000000000001,8036
680,0.7540000000000001,8158
699,0.7550000000000001,8305
715,0.7560000000000001,8414
738,0.7570000000000001,8529
762,0.7580000000000001,8639
776,0.7590000000000001,8736
787,0.7600000000000001,8819
805,0.7610000000000001,8891
815,0.7620000000000001,8964
826,0.7630000000000001,9028
834,0.7640000000000001,9101
845,0.7650000000000001,9160
851,0.7660000000000001,9204
857,0.7670000000000001,9242
865,0.7680000000000001,9291
872,0.7690000000000001,9324
878,0.7700000000000001,9347
882,0.7710000000000001,9368
886,0.7720000000000001,9381
889,0.7730000000000001,9397
894,0.7740000000000001,9405
897,0.7750000000000001,9413
899,0.7760000000000001,9419
901,0.7770000000000001,9419
903,0.7780000000000001,9419
903,0.7790000000000001,9425
905,0.7800000000000001,9426
905,0.7810000000000001,9426
906,0.7820000000000001,9426
907,0.7830000000000001,9427
907,0.7840000000000001,9428
909,0.7850000000000001,9428
909,0.7860000000000001,9428
909,0.7870000000000001,9428
909,0.7880000000000001,9428
909,0.7890000000000001,9428
910,0.7900000000000001,9428
910,0.7910000000000001,9428
910,0.7920000000000001,9428
910,0.7930000000000001,9428
910,0.7940000000000002,9428
910,0.7950000000000002,9428
910,0.7960000000000002,9428
910,0.7970000000000002,9428
910,0.7980000000000002,9428
910,0.7990000000000002,9428
910,0.8000000000000002,9428
910,0.8010000000000002,9428
910,0.8020000000000002,9428
910,0.8030000000000002,9428
910,0.8040000000000002,9428
910,0.8050000000000002,9428
910,0.8060000000000002,9428
910,0.8070000000000002,9428
910,0.8080000000000002,9428
910,0.8090000000000002,9428
910,0.8100000000000002,9428
910,0.8110000000000002,9428
910,0.8120000000000002,9428
910,0.8130000000000002,9428
910,0.8140000000000002,9428
910,0.8150000000000002,9428
910,0.8160000000000002,9428
910,0.8170000000000002,9428
910,0.8180000000000002,9428
910,0.8190000000000002,9428
910,0.8200000000000002,9428
910,0.8210000000000002,9428
910,0.8220000000000002,9428
910,0.8230000000000002,9428
910,0.8240000000000002,9428
910,0.8250000000000002,9428
910,0.8260000000000002,9428
910,0.8270000000000002,9428
910,0.8280000000000002,9428
910,0.8290000000000002,9428
910,0.8300000000000002,9428
910,0.8310000000000002,9428
910,0.8320000000000002,9428
910,0.8330000000000002,9428
910,0.8340000000000002,9428
910,0.8350000000000002,9428
910,0.8360000000000002,9428
910,0.8370000000000002,9428
910,0.8380000000000002,9428
910,0.8390000000000002,9428
910,0.8400000000000002,9428
910,0.8410000000000002,9428
910,0.8420000000000002,9428
910,0.8430000000000002,9428
910,0.8440000000000002,9428
910,0.8450000000000002,9428
910,0.8460000000000002,9428
910,0.8470000000000002,9428
910,0.8480000000000002,9428
910,0.8490000000000002,9428
910,0.8500000000000002,9428
910,0.8510000000000002,9428
910,0.8520000000000002,9428
910,0.8530000000000002,9428
910,0.8540000000000002,9428
910,0.8550000000000002,9428
910,0.8560000000000002,9428
910,0.8570000000000002,9428
910,0.8580000000000002,9428
910,0.8590000000000002,9428
910,0.8600000000000002,9428
910,0.8610000000000002,9428
910,0.8620000000000002,9428
910,0.8630000000000002,9428
910,0.8640000000000002,9428
910,0.8650000000000002,9428
910,0.8660000000000002,9428
910,0.8670000000000002,9428
910,0.8680000000000002,9428
910,0.8690000000000002,9428
910,0.8700000000000002,9428
910,0.8710000000000002,9428
910,0.8720000000000002,9428
910,0.8730000000000002,9428
910,0.8740000000000002,9428
910,0.8750000000000002,9428
910,0.8760000000000002,9428
910,0.8770000000000002,9428
910,0.8780000000000002,9428
