fp,threshold,tp,tp_div_fp
0,0.6390365869894391,104,inf
0,0.639040274400783,105,inf
0,0.639145583779961,106,inf
0,0.6391535020448623,107,inf
0,0.6393697130749602,108,inf
0,0.6393771147920325,109,inf
0,0.6393930852713929,110,inf
0,0.6393936079196354,111,inf
0,0.639423891824561,112,inf
0,0.6394460898443873,113,inf
0,0.6394830214188166,114,inf
0,0.6394850780960658,115,inf
0,0.6394851557351133,116,inf
0,0.6395535236704281,117,inf
0,0.6395737077840248,118,inf
0,0.6395802847192353,119,inf
0,0.6395866795659311,120,inf
0,0.6396515988305618,121,inf
0,0.6396652114049125,122,inf
0,0.6396775909173498,123,inf
0,0.639683501141022,124,inf
0,0.6398155911115206,125,inf
0,0.6398256350652317,126,inf
0,0.6398497031206619,127,inf
0,0.639859709172498,128,inf
0,0.6398844003589745,129,inf
0,0.6399149191170224,130,inf
0,0.639962218822386,131,inf
0,0.6400187893246336,132,inf
0,0.6400188136136696,133,inf
0,0.640074305736237,134,inf
0,0.6400848809996247,135,inf
0,0.6403137498674354,136,inf
0,0.6403147785643195,137,inf
0,0.6403160442569874,138,inf
0,0.6403455444062358,139,inf
0,0.6403589009720321,140,inf
0,0.6403622634968895,141,inf
0,0.6403830482869366,142,inf
0,0.6403908551217966,143,inf
0,0.6404740602618633,144,inf
0,0.6404993019403785,145,inf
0,0.6405749608284935,146,inf
0,0.6405853466495527,147,inf
0,0.6405992676704229,148,inf
0,0.6406090201222091,149,inf
0,0.640654730357126,150,inf
0,0.6406865873430094,151,inf
0,0.6407334440626973,152,inf
0,0.6408160385176497,153,inf
0,0.6408359321389062,154,inf
0,0.6408615325455537,155,inf
0,0.640933147176544,156,inf
0,0.6409523938167272,157,inf
0,0.6409952248188732,158,inf
0,0.6410926119616762,159,inf
0,0.6412558616814531,160,inf
0,0.6412778681748141,161,inf
0,0.6413023298283798,162,inf
0,0.6413202643219464,163,inf
0,0.641334180691381,164,inf
0,0.6414005347341215,165,inf
0,0.641431068736359,166,inf
0,0.6415166208553723,167,inf
0,0.6416088035177323,168,inf
0,0.6416104114488418,169,inf
0,0.641645898794931,170,inf
0,0.6417766845496745,171,inf
0,0.6418129123052749,172,inf
0,0.6418619229841971,173,inf
0,0.6418851709215466,174,inf
0,0.6419278719148245,175,inf
0,0.641976816185328,176,inf
0,0.6420045160333189,177,inf
0,0.6420285123466178,178,inf
0,0.6420828637203859,179,inf
0,0.6420870582830325,180,inf
0,0.6420888266574859,181,inf
0,0.642112918053958,182,inf
0,0.6421161509960399,183,inf
0,0.642121344084186,184,inf
0,0.6421438099453528,185,inf
0,0.6421762940032928,186,inf
0,0.6421995493981685,187,inf
0,0.6422483573766731,188,inf
0,0.6422586999350063,189,inf
0,0.6422692539214734,190,inf
0,0.6423051754945882,191,inf
0,0.6423177469393102,192,inf
0,0.6423382647162021,193,inf
0,0.6424044911652655,194,inf
0,0.6424618316903185,195,inf
0,0.6424622648055724,196,inf
0,0.6424807507828603,197,inf
0,0.6425708148838947,198,inf
0,0.6426006785297297,199,inf
0,0.642611499345587,200,inf
0,0.6426870398555936,201,inf
0,0.6427051198624961,202,inf
0,0.6427228973653469,203,inf
0,0.642729101162503,204,inf
0,0.6427534210834424,205,inf
0,0.6428532989468142,206,inf
0,0.6428871461666007,207,inf
0,0.642937387511323,208,inf
0,0.6429517954084772,209,inf
0,0.6429536514028564,210,inf
0,0.6430206466423272,211,inf
0,0.6430330920712904,212,inf
0,0.6430347040505813,213,inf
0,0.643050446793496,214,inf
0,0.6430556355503163,215,inf
0,0.6430569981772749,216,inf
0,0.6431083530291074,217,inf
0,0.6431267755151907,218,inf
0,0.6431422325732538,219,inf
0,0.6431633028811646,220,inf
0,0.6431939410996568,221,inf
0,0.6431978450536672,222,inf
0,0.6432988937072821,223,inf
0,0.6433401406190794,224,inf
0,0.6433691652028922,225,inf
0,0.6434086886512203,226,inf
0,0.6434367720777323,227,inf
0,0.6434418898943874,228,inf
0,0.6435465616484035,229,inf
0,0.6436221043212877,230,inf
0,0.6437009234925926,231,inf
0,0.643726030364292,232,inf
0,0.643750286304873,233,inf
0,0.6437585425866793,234,inf
0,0.643771468051004,235,inf
0,0.6437769345997696,236,inf
0,0.6438529481166271,237,inf
0,0.6438871657105039,238,inf
0,0.6439000981528035,239,inf
0,0.6439043531370232,240,inf
0,0.6439644708535909,241,inf
0,0.643982744456372,242,inf
0,0.6440190783628301,243,inf
0,0.6440357673433001,244,inf
0,0.6440883538927862,245,inf
0,0.6440958362488874,246,inf
0,0.6441461282921173,247,inf
0,0.6441989351461879,248,inf
0,0.6442135349237148,249,inf
0,0.6442149684513101,250,inf
0,0.6442417724383658,251,inf
0,0.6442482153891537,252,inf
0,0.6442886365710646,253,inf
0,0.6443297070381976,254,inf
0,0.6443303392745172,255,inf
0,0.6444119819804541,256,inf
0,0.6444225181318197,257,inf
0,0.6444433794123842,258,inf
0,0.6444909516062174,259,inf
0,0.6445081835165601,260,inf
0,0.6445690352070653,261,inf
0,0.6445932011797381,262,inf
0,0.6446331032259964,263,inf
0,0.6446582660216654,264,inf
0,0.6446613163489139,265,inf
0,0.6446724301620382,266,inf
0,0.6447014981276554,267,inf
0,0.6447399318281981,268,inf
0,0.6447550550315991,269,inf
0,0.6447782438216549,270,inf
0,0.6447895682222771,271,inf
0,0.644818378122911,272,inf
0,0.6448225075420037,273,inf
0,0.6448370008422897,274,inf
0,0.6449091714964834,275,inf
0,0.6450313185762107,276,inf
0,0.6450540526588293,277,inf
0,0.645131863408369,278,inf
0,0.6451773984260538,279,inf
0,0.6451924063547624,280,inf
0,0.6451968676045947,281,inf
0,0.6452199183891767,282,inf
0,0.6452663580118925,283,inf
0,0.6453066798732531,284,inf
0,0.6454125179552935,285,inf
0,0.6454753020352327,286,inf
0,0.6455483345744185,287,inf
0,0.6455971605137731,288,inf
0,0.6456344649369623,289,inf
0,0.6456460102215186,290,inf
0,0.6457036403076054,291,inf
0,0.6457551704633604,292,inf
0,0.6457681112594423,293,inf
0,0.6458320496199081,294,inf
0,0.645843681472976,295,inf
0,0.6459044552012739,296,inf
0,0.6459206075718418,297,inf
0,0.6459727105745856,298,inf
0,0.6459863105245943,299,inf
0,0.645996108492507,300,inf
0,0.6460352063476463,301,inf
0,0.6460602842260206,302,inf
0,0.6460871444930165,303,inf
0,0.6460942636718132,304,inf
0,0.6461125102432896,305,inf
0,0.6461696134857792,306,inf
0,0.6462239976489316,307,inf
0,0.6462341782510238,308,inf
0,0.6462460575796897,309,inf
0,0.6462550809404919,310,inf
0,0.6462554571033754,311,inf
0,0.6462651712522655,312,inf
0,0.6462747695787759,313,inf
0,0.6462970213970379,314,inf
0,0.6463012720517248,315,inf
0,0.6463035894880608,316,inf
0,0.646368962482079,317,inf
0,0.6463726265701155,318,inf
0,0.6463839335632326,319,inf
0,0.6463900091179169,320,inf
0,0.6464693207021901,321,inf
0,0.646480525635817,322,inf
0,0.6465310684430735,323,inf
0,0.646544334156005,324,inf
0,0.6465490441940529,325,inf
0,0.646556767060679,326,inf
0,0.6465633792634615,327,inf
0,0.6465722209638002,328,inf
0,0.6466100068132006,329,inf
0,0.6466263724001775,330,inf
0,0.6466961966002335,331,inf
0,0.6467022299343502,332,inf
0,0.6467431185845388,333,inf
0,0.6467748659253733,334,inf
0,0.6468309704538873,335,inf
0,0.6468456807062317,336,inf
0,0.6468509168722827,337,inf
0,0.6468597816054295,338,inf
0,0.6468796298504887,339,inf
0,0.6469268827354001,340,inf
0,0.6469355352529871,341,inf
0,0.6470531660274541,342,inf
0,0.6470682641148577,343,inf
0,0.6471214282083034,344,inf
0,0.6471408491444155,345,inf
0,0.6471677665638438,346,inf
0,0.6471851637964583,347,inf
0,0.6472791794735854,348,inf
0,0.6472812323197645,349,inf
0,0.6473033016065041,350,inf
0,0.6473402176691353,351,inf
0,0.6473462113592818,352,inf
0,0.6473574613131281,353,inf
0,0.6474124383756078,354,inf
0,0.6474211511984154,355,inf
0,0.647453564542323,356,inf
0,0.6474598457103631,357,inf
0,0.6474669088280053,358,inf
0,0.6474817071541212,359,inf
0,0.647525204798909,360,inf
0,0.6475500817477894,361,inf
0,0.6475593216010421,362,inf
0,0.6475613778503599,363,inf
0,0.6476667482143672,364,inf
0,0.6476916621632509,365,inf
0,0.647707687804451,366,inf
0,0.6477127293324733,367,inf
0,0.6478154079828351,368,inf
0,0.6478191772098879,369,inf
0,0.6478590517974075,370,inf
0,0.64786926451094,371,inf
0,0.6479024684196483,372,inf
0,0.6479387174910171,373,inf
0,0.6479854461766282,374,inf
0,0.6480466534119472,375,inf
0,0.6481877956284517,376,inf
0,0.6481957738548084,377,inf
0,0.6482109376474448,378,inf
0,0.6482556729568126,379,inf
0,0.6482793977599248,380,inf
0,0.6483019341327739,381,inf
0,0.6483706362299211,382,inf
0,0.6484306784013227,383,inf
0,0.6484600330739351,384,inf
0,0.6484810092240145,385,inf
0,0.6485235134083935,386,inf
0,0.6485593276503423,387,inf
0,0.6485632088323077,388,inf
0,0.6485645595741841,389,inf
0,0.6485963950013666,390,inf
0,0.6486487709605595,391,inf
0,0.6486511506197161,392,inf
0,0.648724451297421,393,inf
0,0.6487433998299835,394,inf
0,0.6487879042881277,395,inf
0,0.6488528000506861,396,inf
0,0.6489288975108396,397,inf
0,0.6489346648793503,398,inf
0,0.6489722401137294,399,inf
0,0.6489781892664394,400,inf
0,0.6489863238804926,401,inf
0,0.648988799464288,402,inf
0,0.649031412377425,403,inf
0,0.6490403736040383,404,inf
0,0.64905213716832,405,inf
0,0.6490951787722591,406,inf
0,0.649132508082553,407,inf
0,0.6491450829760285,408,inf
0,0.6491544547181622,409,inf
0,0.6491629468197153,410,inf
0,0.6491655916699893,411,inf
